subject	predicate	object
Customer15568982	HasCrCard	HasCrCardYes
Customer15568982	IsActiveMember	IsActiveMemberYes
Customer15568982	CreditScore	CreditScore5
Customer15568982	Balance	Balance0
Customer15568982	EstimatedSalary	EstimatedSalary2
Customer15577657	Gender	GenderMale
Customer15577657	Age	Age41
Customer15577657	Geography	GeographyFrance
Customer15577657	Tenure	Tenure8
Customer15577657	NumOfProducts	NumOfProducts2
Customer15577657	HasCrCard	HasCrCardYes
Customer15577657	IsActiveMember	IsActiveMemberYes
Customer15577657	CreditScore	CreditScore5
Customer15577657	Balance	Balance0
Customer15577657	EstimatedSalary	EstimatedSalary6
Customer15597945	Gender	GenderFemale
Customer15597945	Age	Age32
Customer15597945	Geography	GeographySpain
Customer15597945	Tenure	Tenure8
Customer15597945	NumOfProducts	NumOfProducts2
Customer15597945	HasCrCard	HasCrCardYes
Customer15597945	IsActiveMember	IsActiveMemberNo
Customer15597945	CreditScore	CreditScore4
Customer15597945	Balance	Balance0
Customer15597945	EstimatedSalary	EstimatedSalary5
Customer15699309	Gender	GenderFemale
Customer15699309	Age	Age38
Customer15699309	Geography	GeographySpain
Customer15699309	Tenure	Tenure4
Customer15699309	NumOfProducts	NumOfProducts1
Customer15699309	HasCrCard	HasCrCardYes
Customer15699309	IsActiveMember	IsActiveMemberNo
Customer15699309	CreditScore	CreditScore3
Customer15699309	Balance	Balance0
Customer15699309	EstimatedSalary	EstimatedSalary4
Customer15725737	Gender	GenderMale
Customer15725737	Age	Age46
Customer15725737	Geography	GeographyFrance
Customer15725737	Tenure	Tenure3
Customer15725737	NumOfProducts	NumOfProducts2
Customer15725737	HasCrCard	HasCrCardNo
Customer15725737	IsActiveMember	IsActiveMemberYes
Customer15725737	CreditScore	CreditScore4
Customer15725737	Balance	Balance0
Customer15725737	EstimatedSalary	EstimatedSalary0
Customer15625047	Gender	GenderFemale
Customer15625047	Age	Age38
Customer15625047	Geography	GeographyFrance
Customer15625047	Tenure	Tenure5
Customer15625047	NumOfProducts	NumOfProducts1
Customer15625047	HasCrCard	HasCrCardYes
Customer15625047	IsActiveMember	IsActiveMemberYes
Customer15625047	CreditScore	CreditScore6
Customer15625047	Balance	Balance0
Customer15625047	EstimatedSalary	EstimatedSalary7
Customer15738191	Gender	GenderMale
Customer15738191	Age	Age25
Customer15738191	Geography	GeographyFrance
Customer15738191	Tenure	Tenure3
Customer15738191	NumOfProducts	NumOfProducts2
Customer15738191	HasCrCard	HasCrCardNo
Customer15738191	IsActiveMember	IsActiveMemberYes
Customer15738191	CreditScore	CreditScore3
Customer15738191	Balance	Balance0
Customer15738191	EstimatedSalary	EstimatedSalary4
Customer15736816	Gender	GenderMale
Customer15736816	Age	Age36
Customer15736816	Geography	GeographyGermany
Customer15736816	Tenure	Tenure2
Customer15736816	NumOfProducts	NumOfProducts1
Customer15736816	HasCrCard	HasCrCardYes
Customer15736816	IsActiveMember	IsActiveMemberYes
Customer15736816	CreditScore	CreditScore5
Customer15736816	Balance	Balance2
Customer15736816	EstimatedSalary	EstimatedSalary6
Customer15700772	Gender	GenderMale
Customer15700772	Age	Age44
Customer15700772	Geography	GeographyFrance
Customer15700772	Tenure	Tenure9
Customer15700772	NumOfProducts	NumOfProducts2
Customer15700772	HasCrCard	HasCrCardNo
Customer15700772	IsActiveMember	IsActiveMemberNo
Customer15700772	CreditScore	CreditScore3
Customer15700772	Balance	Balance0
Customer15700772	EstimatedSalary	EstimatedSalary1
Customer15728693	Gender	GenderFemale
Customer15728693	Age	Age43
Customer15728693	Geography	GeographyGermany
Customer15728693	Tenure	Tenure3
Customer15728693	NumOfProducts	NumOfProducts1
Customer15728693	HasCrCard	HasCrCardYes
Customer15728693	IsActiveMember	IsActiveMemberYes
Customer15728693	CreditScore	CreditScore3
Customer15728693	Balance	Balance2
Customer15728693	EstimatedSalary	EstimatedSalary4
Customer15656300	Gender	GenderMale
Customer15656300	Age	Age29
Customer15656300	Geography	GeographyFrance
Customer15656300	Tenure	Tenure0
Customer15656300	NumOfProducts	NumOfProducts2
Customer15656300	HasCrCard	HasCrCardYes
Customer15656300	IsActiveMember	IsActiveMemberYes
Customer15656300	CreditScore	CreditScore2
Customer15656300	Balance	Balance1
Customer15656300	EstimatedSalary	EstimatedSalary2
Customer15589475	Gender	GenderFemale
Customer15589475	Age	Age39
Customer15589475	Geography	GeographySpain
Customer15589475	Tenure	Tenure3
Customer15589475	NumOfProducts	NumOfProducts3
Customer15589475	HasCrCard	HasCrCardYes
Customer15589475	IsActiveMember	IsActiveMemberNo
Customer15589475	CreditScore	CreditScore3
Customer15589475	Balance	Balance0
Customer15589475	EstimatedSalary	EstimatedSalary5
Customer15706552	Gender	GenderMale
Customer15706552	Age	Age36
Customer15706552	Geography	GeographyFrance
Customer15706552	Tenure	Tenure7
Customer15706552	NumOfProducts	NumOfProducts1
Customer15706552	HasCrCard	HasCrCardNo
Customer15706552	IsActiveMember	IsActiveMemberYes
Customer15706552	CreditScore	CreditScore3
Customer15706552	Balance	Balance1
Customer15706552	EstimatedSalary	EstimatedSalary6
Customer15750181	Gender	GenderMale
Customer15750181	Age	Age41
Customer15750181	Geography	GeographyGermany
Customer15750181	Tenure	Tenure9
Customer15750181	NumOfProducts	NumOfProducts2
Customer15750181	HasCrCard	HasCrCardNo
Customer15750181	IsActiveMember	IsActiveMemberNo
Customer15750181	CreditScore	CreditScore3
Customer15750181	Balance	Balance2
Customer15750181	EstimatedSalary	EstimatedSalary3
Customer15659428	Gender	GenderFemale
Customer15659428	Age	Age42
Customer15659428	Geography	GeographySpain
Customer15659428	Tenure	Tenure6
Customer15659428	NumOfProducts	NumOfProducts2
Customer15659428	HasCrCard	HasCrCardYes
Customer15659428	IsActiveMember	IsActiveMemberYes
Customer15659428	CreditScore	CreditScore3
Customer15659428	Balance	Balance0
Customer15659428	EstimatedSalary	EstimatedSalary1
Customer15732963	Gender	GenderFemale
Customer15732963	Age	Age29
Customer15732963	Geography	GeographySpain
Customer15732963	Tenure	Tenure9
Customer15732963	NumOfProducts	NumOfProducts2
Customer15732963	HasCrCard	HasCrCardYes
Customer15732963	IsActiveMember	IsActiveMemberYes
Customer15732963	CreditScore	CreditScore5
Customer15732963	Balance	Balance0
Customer15732963	EstimatedSalary	EstimatedSalary5
Customer15794171	Gender	GenderFemale
Customer15794171	Age	Age45
Customer15794171	Geography	GeographyFrance
Customer15794171	Tenure	Tenure0
Customer15794171	NumOfProducts	NumOfProducts1
Customer15794171	HasCrCard	HasCrCardYes
Customer15794171	IsActiveMember	IsActiveMemberNo
Customer15794171	CreditScore	CreditScore2
Customer15794171	Balance	Balance2
Customer15794171	EstimatedSalary	EstimatedSalary1
Customer15788448	Gender	GenderMale
Customer15788448	Age	Age31
Customer15788448	Geography	GeographySpain
Customer15788448	Tenure	Tenure3
Customer15788448	NumOfProducts	NumOfProducts1
Customer15788448	HasCrCard	HasCrCardNo
Customer15788448	IsActiveMember	IsActiveMemberYes
Customer15788448	CreditScore	CreditScore2
Customer15788448	Balance	Balance2
Customer15788448	EstimatedSalary	EstimatedSalary4
Customer15729599	Gender	GenderMale
Customer15729599	Age	Age33
Customer15729599	Geography	GeographySpain
Customer15729599	Tenure	Tenure7
Customer15729599	NumOfProducts	NumOfProducts1
Customer15729599	HasCrCard	HasCrCardNo
Customer15729599	IsActiveMember	IsActiveMemberYes
Customer15729599	CreditScore	CreditScore6
Customer15729599	Balance	Balance1
Customer15729599	EstimatedSalary	EstimatedSalary3
Customer15717426	Gender	GenderMale
Customer15717426	Age	Age36
Customer15717426	Geography	GeographyFrance
Customer15717426	Tenure	Tenure7
Customer15717426	NumOfProducts	NumOfProducts1
Customer15717426	HasCrCard	HasCrCardYes
Customer15717426	IsActiveMember	IsActiveMemberYes
Customer15717426	CreditScore	CreditScore6
Customer15717426	Balance	Balance0
Customer15717426	EstimatedSalary	EstimatedSalary1
Customer15585768	Gender	GenderMale
Customer15585768	Age	Age41
Customer15585768	Geography	GeographyGermany
Customer15585768	Tenure	Tenure6
Customer15585768	NumOfProducts	NumOfProducts2
Customer15585768	HasCrCard	HasCrCardNo
Customer15585768	IsActiveMember	IsActiveMemberYes
Customer15585768	CreditScore	CreditScore3
Customer15585768	Balance	Balance1
Customer15585768	EstimatedSalary	EstimatedSalary7
Customer15619360	Gender	GenderMale
Customer15619360	Age	Age40
Customer15619360	Geography	GeographySpain
Customer15619360	Tenure	Tenure4
Customer15619360	NumOfProducts	NumOfProducts1
Customer15619360	HasCrCard	HasCrCardYes
Customer15619360	IsActiveMember	IsActiveMemberNo
Customer15619360	CreditScore	CreditScore2
Customer15619360	Balance	Balance0
Customer15619360	EstimatedSalary	EstimatedSalary2
Customer15738148	Gender	GenderFemale
Customer15738148	Age	Age51
Customer15738148	Geography	GeographyFrance
Customer15738148	Tenure	Tenure8
Customer15738148	NumOfProducts	NumOfProducts1
Customer15738148	HasCrCard	HasCrCardNo
Customer15738148	IsActiveMember	IsActiveMemberNo
Customer15738148	CreditScore	CreditScore2
Customer15738148	Balance	Balance2
Customer15738148	EstimatedSalary	EstimatedSalary7
Customer15687946	Gender	GenderFemale
Customer15687946	Age	Age61
Customer15687946	Geography	GeographyFrance
Customer15687946	Tenure	Tenure2
Customer15687946	NumOfProducts	NumOfProducts1
Customer15687946	HasCrCard	HasCrCardYes
Customer15687946	IsActiveMember	IsActiveMemberYes
Customer15687946	CreditScore	CreditScore3
Customer15687946	Balance	Balance2
Customer15687946	EstimatedSalary	EstimatedSalary3
Customer15755196	Gender	GenderFemale
Customer15755196	Age	Age49
Customer15755196	Geography	GeographyFrance
Customer15755196	Tenure	Tenure2
Customer15755196	NumOfProducts	NumOfProducts1
Customer15755196	HasCrCard	HasCrCardNo
Customer15755196	IsActiveMember	IsActiveMemberNo
Customer15755196	CreditScore	CreditScore6
Customer15755196	Balance	Balance2
Customer15755196	EstimatedSalary	EstimatedSalary7
Customer15684171	Gender	GenderFemale
Customer15684171	Age	Age61
Customer15684171	Geography	GeographySpain
Customer15684171	Tenure	Tenure5
Customer15684171	NumOfProducts	NumOfProducts1
Customer15684171	HasCrCard	HasCrCardYes
Customer15684171	IsActiveMember	IsActiveMemberYes
Customer15684171	CreditScore	CreditScore4
Customer15684171	Balance	Balance3
Customer15684171	EstimatedSalary	EstimatedSalary6
Customer15754849	Gender	GenderFemale
Customer15754849	Age	Age32
Customer15754849	Geography	GeographyGermany
Customer15754849	Tenure	Tenure4
Customer15754849	NumOfProducts	NumOfProducts2
Customer15754849	HasCrCard	HasCrCardYes
Customer15754849	IsActiveMember	IsActiveMemberYes
Customer15754849	CreditScore	CreditScore5
Customer15754849	Balance	Balance2
Customer15754849	EstimatedSalary	EstimatedSalary5
Customer15602280	Gender	GenderFemale
Customer15602280	Age	Age27
Customer15602280	Geography	GeographyGermany
Customer15602280	Tenure	Tenure9
Customer15602280	NumOfProducts	NumOfProducts1
Customer15602280	HasCrCard	HasCrCardYes
Customer15602280	IsActiveMember	IsActiveMemberYes
Customer15602280	CreditScore	CreditScore6
Customer15602280	Balance	Balance2
Customer15602280	EstimatedSalary	EstimatedSalary4
Customer15771573	Gender	GenderFemale
Customer15771573	Age	Age39
Customer15771573	Geography	GeographyGermany
Customer15771573	Tenure	Tenure9
Customer15771573	NumOfProducts	NumOfProducts1
Customer15771573	HasCrCard	HasCrCardYes
Customer15771573	IsActiveMember	IsActiveMemberYes
Customer15771573	CreditScore	CreditScore4
Customer15771573	Balance	Balance2
Customer15771573	EstimatedSalary	EstimatedSalary4
Customer15766205	Gender	GenderMale
Customer15766205	Age	Age38
Customer15766205	Geography	GeographyGermany
Customer15766205	Tenure	Tenure2
Customer15766205	NumOfProducts	NumOfProducts1
Customer15766205	HasCrCard	HasCrCardNo
Customer15766205	IsActiveMember	IsActiveMemberYes
Customer15766205	CreditScore	CreditScore3
Customer15766205	Balance	Balance2
Customer15766205	EstimatedSalary	EstimatedSalary3
Customer15771873	Gender	GenderFemale
Customer15771873	Age	Age37
Customer15771873	Geography	GeographyGermany
Customer15771873	Tenure	Tenure2
Customer15771873	NumOfProducts	NumOfProducts2
Customer15771873	HasCrCard	HasCrCardYes
Customer15771873	IsActiveMember	IsActiveMemberNo
Customer15771873	CreditScore	CreditScore5
Customer15771873	Balance	Balance2
Customer15771873	EstimatedSalary	EstimatedSalary7
Customer15616550	Gender	GenderMale
Customer15616550	Age	Age44
Customer15616550	Geography	GeographyGermany
Customer15616550	Tenure	Tenure10
Customer15616550	NumOfProducts	NumOfProducts2
Customer15616550	HasCrCard	HasCrCardYes
Customer15616550	IsActiveMember	IsActiveMemberNo
Customer15616550	CreditScore	CreditScore4
Customer15616550	Balance	Balance2
Customer15616550	EstimatedSalary	EstimatedSalary7
Customer15768193	Gender	GenderMale
Customer15768193	Age	Age36
Customer15768193	Geography	GeographyGermany
Customer15768193	Tenure	Tenure5
Customer15768193	NumOfProducts	NumOfProducts2
Customer15768193	HasCrCard	HasCrCardNo
Customer15768193	IsActiveMember	IsActiveMemberNo
Customer15768193	CreditScore	CreditScore3
Customer15768193	Balance	Balance2
Customer15768193	EstimatedSalary	EstimatedSalary3
Customer15683553	Gender	GenderFemale
Customer15683553	Age	Age33
Customer15683553	Geography	GeographyFrance
Customer15683553	Tenure	Tenure5
Customer15683553	NumOfProducts	NumOfProducts2
Customer15683553	HasCrCard	HasCrCardNo
Customer15683553	IsActiveMember	IsActiveMemberNo
Customer15683553	CreditScore	CreditScore5
Customer15683553	Balance	Balance0
Customer15683553	EstimatedSalary	EstimatedSalary4
Customer15702298	Gender	GenderMale
Customer15702298	Age	Age41
Customer15702298	Geography	GeographyGermany
Customer15702298	Tenure	Tenure8
Customer15702298	NumOfProducts	NumOfProducts1
Customer15702298	HasCrCard	HasCrCardNo
Customer15702298	IsActiveMember	IsActiveMemberNo
Customer15702298	CreditScore	CreditScore4
Customer15702298	Balance	Balance2
Customer15702298	EstimatedSalary	EstimatedSalary6
Customer15569590	Gender	GenderMale
Customer15569590	Age	Age42
Customer15569590	Geography	GeographyGermany
Customer15569590	Tenure	Tenure1
Customer15569590	NumOfProducts	NumOfProducts1
Customer15569590	HasCrCard	HasCrCardYes
Customer15569590	IsActiveMember	IsActiveMemberNo
Customer15569590	CreditScore	CreditScore4
Customer15569590	Balance	Balance1
Customer15569590	EstimatedSalary	EstimatedSalary1
Customer15760861	Gender	GenderMale
Customer15760861	Age	Age43
Customer15760861	Geography	GeographyFrance
Customer15760861	Tenure	Tenure1
Customer15760861	NumOfProducts	NumOfProducts1
Customer15760861	HasCrCard	HasCrCardYes
Customer15760861	IsActiveMember	IsActiveMemberYes
Customer15760861	CreditScore	CreditScore4
Customer15760861	Balance	Balance2
Customer15760861	EstimatedSalary	EstimatedSalary4
Customer15630053	Gender	GenderMale
Customer15630053	Age	Age45
Customer15630053	Geography	GeographyFrance
Customer15630053	Tenure	Tenure5
Customer15630053	NumOfProducts	NumOfProducts1
Customer15630053	HasCrCard	HasCrCardYes
Customer15630053	IsActiveMember	IsActiveMemberNo
Customer15630053	CreditScore	CreditScore4
Customer15630053	Balance	Balance2
Customer15630053	EstimatedSalary	EstimatedSalary3
Customer15647091	Gender	GenderMale
Customer15647091	Age	Age19
Customer15647091	Geography	GeographyGermany
Customer15647091	Tenure	Tenure0
Customer15647091	NumOfProducts	NumOfProducts1
Customer15647091	HasCrCard	HasCrCardNo
Customer15647091	IsActiveMember	IsActiveMemberNo
Customer15647091	CreditScore	CreditScore5
Customer15647091	Balance	Balance1
Customer15647091	EstimatedSalary	EstimatedSalary1
Customer15623944	Gender	GenderFemale
Customer15623944	Age	Age66
Customer15623944	Geography	GeographySpain
Customer15623944	Tenure	Tenure4
Customer15623944	NumOfProducts	NumOfProducts1
Customer15623944	HasCrCard	HasCrCardYes
Customer15623944	IsActiveMember	IsActiveMemberNo
Customer15623944	CreditScore	CreditScore3
Customer15623944	Balance	Balance0
Customer15623944	EstimatedSalary	EstimatedSalary0
Customer15804771	Gender	GenderMale
Customer15804771	Age	Age51
Customer15804771	Geography	GeographyFrance
Customer15804771	Tenure	Tenure4
Customer15804771	NumOfProducts	NumOfProducts1
Customer15804771	HasCrCard	HasCrCardYes
Customer15804771	IsActiveMember	IsActiveMemberYes
Customer15804771	CreditScore	CreditScore4
Customer15804771	Balance	Balance0
Customer15804771	EstimatedSalary	EstimatedSalary1
Customer15651280	Gender	GenderMale
Customer15651280	Age	Age35
Customer15651280	Geography	GeographyGermany
Customer15651280	Tenure	Tenure5
Customer15651280	NumOfProducts	NumOfProducts1
Customer15651280	HasCrCard	HasCrCardNo
Customer15651280	IsActiveMember	IsActiveMemberNo
Customer15651280	CreditScore	CreditScore5
Customer15651280	Balance	Balance2
Customer15651280	EstimatedSalary	EstimatedSalary3
Customer15773469	Gender	GenderFemale
Customer15773469	Age	Age27
Customer15773469	Geography	GeographyGermany
Customer15773469	Tenure	Tenure9
Customer15773469	NumOfProducts	NumOfProducts2
Customer15773469	HasCrCard	HasCrCardNo
Customer15773469	IsActiveMember	IsActiveMemberNo
Customer15773469	CreditScore	CreditScore4
Customer15773469	Balance	Balance3
Customer15773469	EstimatedSalary	EstimatedSalary5
Customer15702014	Gender	GenderMale
Customer15702014	Age	Age33
Customer15702014	Geography	GeographySpain
Customer15702014	Tenure	Tenure1
Customer15702014	NumOfProducts	NumOfProducts2
Customer15702014	HasCrCard	HasCrCardNo
Customer15702014	IsActiveMember	IsActiveMemberNo
Customer15702014	CreditScore	CreditScore3
Customer15702014	Balance	Balance1
Customer15702014	EstimatedSalary	EstimatedSalary7
Customer15751208	Gender	GenderMale
Customer15751208	Age	Age56
Customer15751208	Geography	GeographySpain
Customer15751208	Tenure	Tenure8
Customer15751208	NumOfProducts	NumOfProducts1
Customer15751208	HasCrCard	HasCrCardYes
Customer15751208	IsActiveMember	IsActiveMemberYes
Customer15751208	CreditScore	CreditScore4
Customer15751208	Balance	Balance1
Customer15751208	EstimatedSalary	EstimatedSalary3
Customer15592461	Gender	GenderMale
Customer15592461	Age	Age26
Customer15592461	Geography	GeographyGermany
Customer15592461	Tenure	Tenure4
Customer15592461	NumOfProducts	NumOfProducts1
Customer15592461	HasCrCard	HasCrCardYes
Customer15592461	IsActiveMember	IsActiveMemberYes
Customer15592461	CreditScore	CreditScore4
Customer15592461	Balance	Balance2
Customer15592461	EstimatedSalary	EstimatedSalary3
Customer15789484	Gender	GenderFemale
Customer15789484	Age	Age36
Customer15789484	Geography	GeographyGermany
Customer15789484	Tenure	Tenure6
Customer15789484	NumOfProducts	NumOfProducts2
Customer15789484	HasCrCard	HasCrCardYes
Customer15789484	IsActiveMember	IsActiveMemberYes
Customer15789484	CreditScore	CreditScore5
Customer15789484	Balance	Balance3
Customer15789484	EstimatedSalary	EstimatedSalary1
Customer15696061	Gender	GenderFemale
Customer15696061	Age	Age34
Customer15696061	Geography	GeographyGermany
Customer15696061	Tenure	Tenure1
Customer15696061	NumOfProducts	NumOfProducts1
Customer15696061	HasCrCard	HasCrCardYes
Customer15696061	IsActiveMember	IsActiveMemberNo
Customer15696061	CreditScore	CreditScore3
Customer15696061	Balance	Balance2
Customer15696061	EstimatedSalary	EstimatedSalary4
Customer15641582	Gender	GenderMale
Customer15641582	Age	Age43
Customer15641582	Geography	GeographyGermany
Customer15641582	Tenure	Tenure10
Customer15641582	NumOfProducts	NumOfProducts2
Customer15641582	HasCrCard	HasCrCardYes
Customer15641582	IsActiveMember	IsActiveMemberYes
Customer15641582	CreditScore	CreditScore5
Customer15641582	Balance	Balance2
Customer15641582	EstimatedSalary	EstimatedSalary7
Customer15638424	Gender	GenderFemale
Customer15638424	Age	Age35
Customer15638424	Geography	GeographyGermany
Customer15638424	Tenure	Tenure5
Customer15638424	NumOfProducts	NumOfProducts2
Customer15638424	HasCrCard	HasCrCardNo
Customer15638424	IsActiveMember	IsActiveMemberYes
Customer15638424	CreditScore	CreditScore4
