subject	predicate	object
User465602	Work_Experience	Work_Experience13.0
User465602	Spending_Score	Spending_ScoreLow
User465602	Family_Size	Family_Size2.0
User465602	Var_1	Var_1Cat_3
User459168	Gender	GenderFemale
User459168	Ever_Married	Ever_MarriedNo
User459168	Age	Age36
User459168	everGraduated	GraduatedYes
User459168	Profession	ProfessionArtist
User459168	Work_Experience	Work_Experience5.0
User459168	Spending_Score	Spending_ScoreLow
User459168	Family_Size	Family_Size2.0
User459168	Var_1	Var_1Cat_6
User465083	Gender	GenderMale
User465083	Ever_Married	Ever_MarriedYes
User465083	Age	Age56
User465083	everGraduated	GraduatedNo
User465083	Profession	ProfessionArtist
User465083	Work_Experience	Work_Experience1.0
User465083	Spending_Score	Spending_ScoreAverage
User465083	Family_Size	Family_Size3.0
User465083	Var_1	Var_1Cat_6
User467604	Gender	GenderMale
User467604	Ever_Married	Ever_MarriedNo
User467604	Age	Age31
User467604	everGraduated	GraduatedNo
User467604	Profession	ProfessionHealthcare
User467604	Work_Experience	Work_Experience9.0
User467604	Spending_Score	Spending_ScoreLow
User467604	Family_Size	Family_Size8.0
User467604	Var_1	Var_1Cat_4
User459717	Gender	GenderMale
User459717	Ever_Married	Ever_MarriedYes
User459717	Age	Age49
User459717	everGraduated	GraduatedYes
User459717	Profession	ProfessionArtist
User459717	Work_Experience	Work_Experience1.0
User459717	Spending_Score	Spending_ScoreAverage
User459717	Family_Size	Family_Size3.0
User459717	Var_1	Var_1Cat_6
User465882	Gender	GenderMale
User465882	Ever_Married	Ever_MarriedNo
User465882	Age	Age35
User465882	everGraduated	GraduatedYes
User465882	Profession	ProfessionArtist
User465882	Work_Experience	Work_Experience0.0
User465882	Spending_Score	Spending_ScoreLow
User465882	Family_Size	Family_Size1.0
User465882	Var_1	Var_1Cat_6
User461996	Gender	GenderFemale
User461996	Ever_Married	Ever_MarriedNo
User461996	Age	Age35
User461996	everGraduated	GraduatedNo
User461996	Profession	ProfessionArtist
User461996	Work_Experience	Work_Experience5.0
User461996	Spending_Score	Spending_ScoreLow
User461996	Family_Size	Family_Size4.0
User461996	Var_1	Var_1Cat_6
User463331	Gender	GenderFemale
User463331	Ever_Married	Ever_MarriedYes
User463331	Age	Age45
User463331	everGraduated	GraduatedYes
User463331	Profession	ProfessionArtist
User463331	Work_Experience	Work_Experience0.0
User463331	Spending_Score	Spending_ScoreLow
User463331	Family_Size	Family_Size3.0
User463331	Var_1	Var_1Cat_6
User462216	Gender	GenderFemale
User462216	Ever_Married	Ever_MarriedYes
User462216	Age	Age42
User462216	everGraduated	GraduatedNo
User462216	Profession	ProfessionDoctor
User462216	Work_Experience	Work_Experience1.0
User462216	Spending_Score	Spending_ScoreLow
User462216	Family_Size	Family_Size2.0
User462216	Var_1	Var_1Cat_4
User462454	Gender	GenderMale
User462454	Ever_Married	Ever_MarriedNo
User462454	Age	Age19
User462454	everGraduated	GraduatedNo
User462454	Profession	ProfessionHealthcare
User462454	Work_Experience	Work_Experience1.0
User462454	Spending_Score	Spending_ScoreLow
User462454	Family_Size	Family_Size3.0
User462454	Var_1	Var_1Cat_2
User459861	Gender	GenderFemale
User459861	Ever_Married	Ever_MarriedYes
User459861	Age	Age83
User459861	everGraduated	GraduatedNo
User459861	Profession	ProfessionLawyer
User459861	Work_Experience	Work_Experience1.0
User459861	Spending_Score	Spending_ScoreHigh
User459861	Family_Size	Family_Size2.0
User459861	Var_1	Var_1Cat_6
User467917	Gender	GenderFemale
User467917	Ever_Married	Ever_MarriedNo
User467917	Age	Age27
User467917	everGraduated	GraduatedYes
User467917	Profession	ProfessionHealthcare
User467917	Work_Experience	Work_Experience3.0
User467917	Spending_Score	Spending_ScoreLow
User467917	Family_Size	Family_Size4.0
User467917	Var_1	Var_1Cat_1
User465572	Gender	GenderMale
User465572	Ever_Married	Ever_MarriedNo
User465572	Age	Age32
User465572	everGraduated	GraduatedNo
User465572	Profession	ProfessionDoctor
User465572	Work_Experience	Work_Experience5.0
User465572	Spending_Score	Spending_ScoreLow
User465572	Family_Size	Family_Size1.0
User465572	Var_1	Var_1Cat_4
User460593	Gender	GenderFemale
User460593	Ever_Married	Ever_MarriedYes
User460593	Age	Age28
User460593	everGraduated	GraduatedNo
User460593	Profession	ProfessionHealthcare
User460593	Work_Experience	Work_Experience1.0
User460593	Spending_Score	Spending_ScoreAverage
User460593	Family_Size	Family_Size5.0
User460593	Var_1	Var_1Cat_3
User465891	Gender	GenderFemale
User465891	Ever_Married	Ever_MarriedYes
User465891	Age	Age28
User465891	everGraduated	GraduatedYes
User465891	Profession	ProfessionArtist
User465891	Work_Experience	Work_Experience8.0
User465891	Spending_Score	Spending_ScoreLow
User465891	Family_Size	Family_Size2.0
User465891	Var_1	Var_1Cat_6
User462044	Gender	GenderFemale
User462044	Ever_Married	Ever_MarriedNo
User462044	Age	Age47
User462044	everGraduated	GraduatedYes
User462044	Profession	ProfessionArtist
User462044	Work_Experience	Work_Experience4.0
User462044	Spending_Score	Spending_ScoreLow
User462044	Family_Size	Family_Size1.0
User462044	Var_1	Var_1Cat_6
User465686	Gender	GenderFemale
User465686	Ever_Married	Ever_MarriedNo
User465686	Age	Age22
User465686	everGraduated	GraduatedNo
User465686	Profession	ProfessionHealthcare
User465686	Work_Experience	Work_Experience0.0
User465686	Spending_Score	Spending_ScoreLow
User465686	Family_Size	Family_Size2.0
User465686	Var_1	Var_1Cat_6
User464590	Gender	GenderFemale
User464590	Ever_Married	Ever_MarriedNo
User464590	Age	Age27
User464590	everGraduated	GraduatedYes
User464590	Profession	ProfessionArtist
User464590	Work_Experience	Work_Experience14.0
User464590	Spending_Score	Spending_ScoreLow
User464590	Family_Size	Family_Size3.0
User464590	Var_1	Var_1Cat_6
User466152	Gender	GenderMale
User466152	Ever_Married	Ever_MarriedYes
User466152	Age	Age40
User466152	everGraduated	GraduatedNo
User466152	Profession	ProfessionEngineer
User466152	Work_Experience	Work_Experience8.0
User466152	Spending_Score	Spending_ScoreLow
User466152	Family_Size	Family_Size1.0
User466152	Var_1	Var_1Cat_6
User465729	Gender	GenderMale
User465729	Ever_Married	Ever_MarriedYes
User465729	Age	Age41
User465729	everGraduated	GraduatedYes
User465729	Profession	ProfessionArtist
User465729	Work_Experience	Work_Experience0.0
User465729	Spending_Score	Spending_ScoreAverage
User465729	Family_Size	Family_Size4.0
User465729	Var_1	Var_1Cat_4
User462442	Gender	GenderMale
User462442	Ever_Married	Ever_MarriedNo
User462442	Age	Age19
User462442	everGraduated	GraduatedNo
User462442	Profession	ProfessionHealthcare
User462442	Work_Experience	Work_Experience0.0
User462442	Spending_Score	Spending_ScoreLow
User462442	Family_Size	Family_Size4.0
User462442	Var_1	Var_1Cat_6
User464191	Gender	GenderFemale
User464191	Ever_Married	Ever_MarriedNo
User464191	Age	Age45
User464191	everGraduated	GraduatedYes
User464191	Profession	ProfessionEngineer
User464191	Work_Experience	Work_Experience1.0
User464191	Spending_Score	Spending_ScoreLow
User464191	Family_Size	Family_Size1.0
User464191	Var_1	Var_1Cat_6
User462078	Gender	GenderFemale
User462078	Ever_Married	Ever_MarriedYes
User462078	Age	Age61
User462078	everGraduated	GraduatedNo
User462078	Profession	ProfessionArtist
User462078	Work_Experience	Work_Experience1.0
User462078	Spending_Score	Spending_ScoreAverage
User462078	Family_Size	Family_Size2.0
User462078	Var_1	Var_1Cat_2
User467873	Gender	GenderFemale
User467873	Ever_Married	Ever_MarriedYes
User467873	Age	Age36
User467873	everGraduated	GraduatedYes
User467873	Profession	ProfessionArtist
User467873	Work_Experience	Work_Experience1.0
User467873	Spending_Score	Spending_ScoreAverage
User467873	Family_Size	Family_Size2.0
User467873	Var_1	Var_1Cat_6
User461270	Gender	GenderMale
User461270	Ever_Married	Ever_MarriedYes
User461270	Age	Age40
User461270	everGraduated	GraduatedYes
User461270	Profession	ProfessionArtist
User461270	Work_Experience	Work_Experience1.0
User461270	Spending_Score	Spending_ScoreLow
User461270	Family_Size	Family_Size1.0
User461270	Var_1	Var_1Cat_3
User462960	Gender	GenderFemale
User462960	Ever_Married	Ever_MarriedYes
User462960	Age	Age57
User462960	everGraduated	GraduatedYes
User462960	Profession	ProfessionEntertainment
User462960	Work_Experience	Work_Experience0.0
User462960	Spending_Score	Spending_ScoreAverage
User462960	Family_Size	Family_Size2.0
User462960	Var_1	Var_1Cat_6
User464961	Gender	GenderMale
User464961	Ever_Married	Ever_MarriedYes
User464961	Age	Age76
User464961	everGraduated	GraduatedNo
User464961	Profession	ProfessionMarketing
User464961	Work_Experience	Work_Experience1.0
User464961	Spending_Score	Spending_ScoreLow
User464961	Family_Size	Family_Size1.0
User464961	Var_1	Var_1Cat_4
User462110	Gender	GenderMale
User462110	Ever_Married	Ever_MarriedYes
User462110	Age	Age32
User462110	everGraduated	GraduatedYes
User462110	Profession	ProfessionArtist
User462110	Work_Experience	Work_Experience14.0
User462110	Spending_Score	Spending_ScoreAverage
User462110	Family_Size	Family_Size2.0
User462110	Var_1	Var_1Cat_6
User465769	Gender	GenderMale
User465769	Ever_Married	Ever_MarriedNo
User465769	Age	Age25
User465769	everGraduated	GraduatedYes
User465769	Profession	ProfessionHealthcare
User465769	Work_Experience	Work_Experience9.0
User465769	Spending_Score	Spending_ScoreLow
User465769	Family_Size	Family_Size4.0
User465769	Var_1	Var_1Cat_6
User465269	Gender	GenderFemale
User465269	Ever_Married	Ever_MarriedYes
User465269	Age	Age45
User465269	everGraduated	GraduatedYes
User465269	Profession	ProfessionArtist
User465269	Work_Experience	Work_Experience1.0
User465269	Spending_Score	Spending_ScoreAverage
User465269	Family_Size	Family_Size3.0
User465269	Var_1	Var_1Cat_3
User461891	Gender	GenderMale
User461891	Ever_Married	Ever_MarriedYes
User461891	Age	Age48
User461891	everGraduated	GraduatedYes
User461891	Profession	ProfessionArtist
User461891	Work_Experience	Work_Experience0.0
User461891	Spending_Score	Spending_ScoreAverage
User461891	Family_Size	Family_Size2.0
User461891	Var_1	Var_1Cat_6
User466935	Gender	GenderMale
User466935	Ever_Married	Ever_MarriedYes
User466935	Age	Age55
User466935	everGraduated	GraduatedYes
User466935	Profession	ProfessionArtist
User466935	Work_Experience	Work_Experience9.0
User466935	Spending_Score	Spending_ScoreAverage
User466935	Family_Size	Family_Size2.0
User466935	Var_1	Var_1Cat_1
User464091	Gender	GenderMale
User464091	Ever_Married	Ever_MarriedYes
User464091	Age	Age74
User464091	everGraduated	GraduatedYes
User464091	Profession	ProfessionLawyer
User464091	Work_Experience	Work_Experience0.0
User464091	Spending_Score	Spending_ScoreHigh
User464091	Family_Size	Family_Size3.0
User464091	Var_1	Var_1Cat_6
User464535	Gender	GenderMale
User464535	Ever_Married	Ever_MarriedYes
User464535	Age	Age56
User464535	everGraduated	GraduatedYes
User464535	Profession	ProfessionLawyer
User464535	Work_Experience	Work_Experience1.0
User464535	Spending_Score	Spending_ScoreHigh
User464535	Family_Size	Family_Size2.0
User464535	Var_1	Var_1Cat_6
User463108	Gender	GenderMale
User463108	Ever_Married	Ever_MarriedYes
User463108	Age	Age59
User463108	everGraduated	GraduatedYes
User463108	Profession	ProfessionLawyer
User463108	Work_Experience	Work_Experience7.0
User463108	Spending_Score	Spending_ScoreHigh
User463108	Family_Size	Family_Size2.0
User463108	Var_1	Var_1Cat_6
User461356	Gender	GenderMale
User461356	Ever_Married	Ever_MarriedNo
User461356	Age	Age25
User461356	everGraduated	GraduatedYes
User461356	Profession	ProfessionEntertainment
User461356	Work_Experience	Work_Experience0.0
User461356	Spending_Score	Spending_ScoreLow
User461356	Family_Size	Family_Size2.0
User461356	Var_1	Var_1Cat_6
User464570	Gender	GenderMale
User464570	Ever_Married	Ever_MarriedYes
User464570	Age	Age31
User464570	everGraduated	GraduatedYes
User464570	Profession	ProfessionDoctor
User464570	Work_Experience	Work_Experience0.0
User464570	Spending_Score	Spending_ScoreAverage
User464570	Family_Size	Family_Size2.0
User464570	Var_1	Var_1Cat_6
User464580	Gender	GenderMale
User464580	Ever_Married	Ever_MarriedNo
User464580	Age	Age27
User464580	everGraduated	GraduatedNo
User464580	Profession	ProfessionArtist
User464580	Work_Experience	Work_Experience8.0
User464580	Spending_Score	Spending_ScoreLow
User464580	Family_Size	Family_Size4.0
User464580	Var_1	Var_1Cat_6
User465233	Gender	GenderMale
User465233	Ever_Married	Ever_MarriedYes
User465233	Age	Age57
User465233	everGraduated	GraduatedYes
User465233	Profession	ProfessionArtist
User465233	Work_Experience	Work_Experience0.0
User465233	Spending_Score	Spending_ScoreAverage
User465233	Family_Size	Family_Size4.0
User465233	Var_1	Var_1Cat_6
User459954	Gender	GenderMale
User459954	Ever_Married	Ever_MarriedYes
User459954	Age	Age27
User459954	everGraduated	GraduatedYes
User459954	Profession	ProfessionHealthcare
User459954	Work_Experience	Work_Experience8.0
User459954	Spending_Score	Spending_ScoreLow
User459954	Family_Size	Family_Size2.0
User459954	Var_1	Var_1Cat_6
User460219	Gender	GenderFemale
User460219	Ever_Married	Ever_MarriedYes
User460219	Age	Age51
User460219	everGraduated	GraduatedYes
User460219	Profession	ProfessionEntertainment
User460219	Work_Experience	Work_Experience8.0
User460219	Spending_Score	Spending_ScoreAverage
User460219	Family_Size	Family_Size2.0
User460219	Var_1	Var_1Cat_6
User460877	Gender	GenderFemale
User460877	Ever_Married	Ever_MarriedYes
User460877	Age	Age47
User460877	everGraduated	GraduatedNo
User460877	Profession	ProfessionArtist
User460877	Work_Experience	Work_Experience0.0
User460877	Spending_Score	Spending_ScoreAverage
User460877	Family_Size	Family_Size5.0
User460877	Var_1	Var_1Cat_6
User460191	Gender	GenderFemale
User460191	Ever_Married	Ever_MarriedNo
User460191	Age	Age33
User460191	everGraduated	GraduatedNo
User460191	Profession	ProfessionHealthcare
User460191	Work_Experience	Work_Experience8.0
User460191	Spending_Score	Spending_ScoreLow
User460191	Family_Size	Family_Size4.0
User460191	Var_1	Var_1Cat_6
User463742	Gender	GenderMale
User463742	Ever_Married	Ever_MarriedYes
User463742	Age	Age56
User463742	everGraduated	GraduatedYes
User463742	Profession	ProfessionArtist
User463742	Work_Experience	Work_Experience0.0
User463742	Spending_Score	Spending_ScoreAverage
User463742	Family_Size	Family_Size4.0
User463742	Var_1	Var_1Cat_6
User463691	Gender	GenderFemale
User463691	Ever_Married	Ever_MarriedNo
User463691	Age	Age33
User463691	everGraduated	GraduatedNo
User463691	Profession	ProfessionHomemaker
User463691	Work_Experience	Work_Experience0.0
User463691	Spending_Score	Spending_ScoreLow
User463691	Family_Size	Family_Size3.0
User463691	Var_1	Var_1Cat_6
User463250	Gender	GenderFemale
User463250	Ever_Married	Ever_MarriedNo
User463250	Age	Age36
User463250	everGraduated	GraduatedYes
User463250	Profession	ProfessionDoctor
User463250	Work_Experience	Work_Experience0.0
User463250	Spending_Score	Spending_ScoreLow
User463250	Family_Size	Family_Size2.0
User463250	Var_1	Var_1Cat_6
User463952	Gender	GenderMale
User463952	Ever_Married	Ever_MarriedYes
User463952	Age	Age51
User463952	everGraduated	GraduatedNo
User463952	Profession	ProfessionArtist
User463952	Work_Experience	Work_Experience4.0
User463952	Spending_Score	Spending_ScoreLow
User463952	Family_Size	Family_Size3.0
User463952	Var_1	Var_1Cat_4
User461558	Gender	GenderMale
User461558	Ever_Married	Ever_MarriedYes
User461558	Age	Age45
User461558	everGraduated	GraduatedYes
User461558	Profession	ProfessionEngineer
User461558	Work_Experience	Work_Experience2.0
User461558	Spending_Score	Spending_ScoreAverage
User461558	Family_Size	Family_Size2.0
User461558	Var_1	Var_1Cat_6
User465379	Gender	GenderMale
User465379	Ever_Married	Ever_MarriedNo
User465379	Age	Age30
User465379	everGraduated	GraduatedNo
User465379	Profession	ProfessionHealthcare
User465379	Work_Experience	Work_Experience0.0
User465379	Spending_Score	Spending_ScoreLow
User465379	Family_Size	Family_Size4.0
User465379	Var_1	Var_1Cat_6
User463814	Gender	GenderFemale
User463814	Ever_Married	Ever_MarriedNo
User463814	Age	Age26
User463814	everGraduated	GraduatedNo
User463814	Profession	ProfessionHealthcare
User463814	Work_Experience	Work_Experience6.0
User463814	Spending_Score	Spending_ScoreLow
User463814	Family_Size	Family_Size3.0
User463814	Var_1	Var_1Cat_5
User466938	Gender	GenderMale
User466938	Ever_Married	Ever_MarriedYes
User466938	Age	Age63
User466938	everGraduated	GraduatedYes
User466938	Profession	ProfessionArtist
User466938	Work_Experience	Work_Experience8.0
User466938	Spending_Score	Spending_ScoreLow
User466938	Family_Size	Family_Size1.0
User466938	Var_1	Var_1Cat_6
User460671	Gender	GenderMale
User460671	Ever_Married	Ever_MarriedYes
User460671	Age	Age35
User460671	everGraduated	GraduatedNo
User460671	Profession	ProfessionEntertainment
User460671	Work_Experience	Work_Experience8.0
User460671	Spending_Score	Spending_ScoreAverage
User460671	Family_Size	Family_Size4.0
User460671	Var_1	Var_1Cat_3
User462204	Gender	GenderFemale
User462204	Ever_Married	Ever_MarriedNo
User462204	Age	Age19
User462204	everGraduated	GraduatedNo
User462204	Profession	ProfessionMarketing
User462204	Work_Experience	Work_Experience1.0
User462204	Spending_Score	Spending_ScoreLow
User462204	Family_Size	Family_Size3.0
User462204	Var_1	Var_1Cat_4
User461671	Gender	GenderMale
User461671	Ever_Married	Ever_MarriedNo
User461671	Age	Age32
User461671	everGraduated	GraduatedNo
User461671	Profession	ProfessionHealthcare
User461671	Work_Experience	Work_Experience7.0
User461671	Spending_Score	Spending_ScoreLow
User461671	Family_Size	Family_Size5.0
User461671	Var_1	Var_1Cat_6
User459384	Gender	GenderMale
User459384	Ever_Married	Ever_MarriedYes
User459384	Age	Age52
User459384	everGraduated	GraduatedYes
User459384	Profession	ProfessionArtist
User459384	Work_Experience	Work_Experience0.0
User459384	Spending_Score	Spending_ScoreAverage
User459384	Family_Size	Family_Size3.0
User459384	Var_1	Var_1Cat_6
User459905	Gender	GenderFemale
User459905	Ever_Married	Ever_MarriedYes
User459905	Age	Age36
User459905	everGraduated	GraduatedYes
User459905	Profession	ProfessionArtist
User459905	Work_Experience	Work_Experience5.0
User459905	Spending_Score	Spending_ScoreLow
User459905	Family_Size	Family_Size2.0
User459905	Var_1	Var_1Cat_6
User464734	Gender	GenderFemale
User464734	Ever_Married	Ever_MarriedNo
User464734	Age	Age42
User464734	everGraduated	GraduatedNo
User464734	Profession	ProfessionEntertainment
User464734	Work_Experience	Work_Experience7.0
User464734	Spending_Score	Spending_ScoreLow
User464734	Family_Size	Family_Size3.0
User464734	Var_1	Var_1Cat_4
User464125	Gender	GenderMale
User464125	Ever_Married	Ever_MarriedYes
User464125	Age	Age40
User464125	everGraduated	GraduatedNo
User464125	Profession	ProfessionDoctor
User464125	Work_Experience	Work_Experience0.0
User464125	Spending_Score	Spending_ScoreAverage
User464125	Family_Size	Family_Size2.0
User464125	Var_1	Var_1Cat_3
User467434	Gender	GenderMale
User467434	Ever_Married	Ever_MarriedNo
User467434	Age	Age39
User467434	everGraduated	GraduatedYes
User467434	Profession	ProfessionEntertainment
User467434	Work_Experience	Work_Experience0.0
User467434	Spending_Score	Spending_ScoreLow
User467434	Family_Size	Family_Size3.0
User467434	Var_1	Var_1Cat_1
User460956	Gender	GenderFemale
User460956	Ever_Married	Ever_MarriedYes
User460956	Age	Age47
User460956	everGraduated	GraduatedYes
User460956	Profession	ProfessionArtist
User460956	Work_Experience	Work_Experience1.0
User460956	Spending_Score	Spending_ScoreAverage
User460956	Family_Size	Family_Size4.0
User460956	Var_1	Var_1Cat_3
User465179	Gender	GenderFemale
User465179	Ever_Married	Ever_MarriedYes
User465179	Age	Age61
User465179	everGraduated	GraduatedYes
User465179	Profession	ProfessionArtist
User465179	Work_Experience	Work_Experience1.0
User465179	Spending_Score	Spending_ScoreHigh
User465179	Family_Size	Family_Size2.0
User465179	Var_1	Var_1Cat_6
User463338	Gender	GenderMale
User463338	Ever_Married	Ever_MarriedYes
User463338	Age	Age32
User463338	everGraduated	GraduatedNo
User463338	Profession	ProfessionEntertainment
User463338	Work_Experience	Work_Experience1.0
User463338	Spending_Score	Spending_ScoreLow
User463338	Family_Size	Family_Size2.0
User463338	Var_1	Var_1Cat_3
User467066	Gender	GenderMale
User467066	Ever_Married	Ever_MarriedYes
User467066	Age	Age55
User467066	everGraduated	GraduatedNo
User467066	Profession	ProfessionArtist
User467066	Work_Experience	Work_Experience0.0
User467066	Spending_Score	Spending_ScoreLow
User467066	Family_Size	Family_Size1.0
User467066	Var_1	Var_1Cat_6
User459976	Gender	GenderFemale
User459976	Ever_Married	Ever_MarriedNo
User459976	Age	Age38
User459976	everGraduated	GraduatedYes
User459976	Profession	ProfessionArtist
User459976	Work_Experience	Work_Experience0.0
User459976	Spending_Score	Spending_ScoreLow
User459976	Family_Size	Family_Size1.0
User459976	Var_1	Var_1Cat_6
User461334	Gender	GenderMale
User461334	Ever_Married	Ever_MarriedYes
User461334	Age	Age63
User461334	everGraduated	GraduatedYes
User461334	Profession	ProfessionArtist
User461334	Work_Experience	Work_Experience0.0
User461334	Spending_Score	Spending_ScoreHigh
User461334	Family_Size	Family_Size2.0
User461334	Var_1	Var_1Cat_6
User465108	Gender	GenderMale
User465108	Ever_Married	Ever_MarriedYes
User465108	Age	Age58
User465108	everGraduated	GraduatedYes
User465108	Profession	ProfessionDoctor
User465108	Work_Experience	Work_Experience1.0
User465108	Spending_Score	Spending_ScoreAverage
User465108	Family_Size	Family_Size2.0
User465108	Var_1	Var_1Cat_6
User462600	Gender	GenderMale
User462600	Ever_Married	Ever_MarriedYes
User462600	Age	Age30
User462600	everGraduated	GraduatedNo
User462600	Profession	ProfessionEngineer
User462600	Work_Experience	Work_Experience3.0
User462600	Spending_Score	Spending_ScoreAverage
